,Country,Iphone,Android,Total
0,Côte d'Ivoire,14,14,32
1,Storbritannia,2,0,3
2,Russia,111,13,159
3,Paraguay,54,175,253
4,Danmark,22,12,46
5,Anguilla,3,0,4
6,تونس,4,0,4
7,Canadá,13,10,30
8,Поранешна Југословенска Република Македонија,7,19,26
9,Negara Brunei Darussalam,0,0,1
10,Việt Nam,18,19,39
11,Yemen,1,15,25
12,Tschechische Republik,0,0,1
13,Islamic Republic of Iran,49,31,106
14,Japonya,1,0,1
15,Senegal,38,52,94
16,Suiza,0,0,1
17,Ελλάς,12,76,120
18,Sweden,46,9,88
19,The Netherlands,111,21,183
20,Schweiz,28,9,51
21,Kenia,1,0,1
22,Singapour,0,0,1
23,Republic of Korea,107,27,146
24,Etats-Unis,24,2,31
25,République populaire de Chine,2,4,6
26,Guyana,3,1,6
27,Spanien,1,3,9
28,Nueva Zelanda,1,0,1
29,Hongrie,0,1,1
30,Eritrea,0,0,3
31,Norge,20,8,41
32,Tonga,0,0,1
33,Djibouti,1,2,5
34,Singapore,130,49,207
35,Malaysia,1849,1351,3390
36,Italia,348,672,1271
37,Biélorussie,0,0,1
38,Finlande,1,0,1
39,Francia,6,8,17
40,Turkey,390,63,657
41,França,0,5,6
42,Suíça,3,0,4
43,República Checa,1,1,2
44,España,569,1462,2520
45,Malawi,3,13,18
46,Espainia,6,2,14
47,Russie,0,3,3
48,Iraq,66,34,127
49,Germany,141,96,301
50,Northern Mariana Islands,1,0,1
51,Turkki,0,1,1
52,Polen,1,0,1
53,Cambodia,17,11,30
54,Afghanistan,4,3,10
55,Suomi,15,34,70
56,Rwanda,4,9,14
57,Maldives,20,15,38
58,Ivory Coast,8,1,10
59,Belgien,1,0,1
60,新加坡,9,1,13
61,Vereinigte Staaten,1,2,7
62,Palau,0,1,1
63,France,880,657,1870
64,Turks and Caicos Islands,6,0,6
65,Greece,46,12,90
66,Hashemite Kingdom of Jordan,48,10,70
67,Kosovo,13,2,15
68,Saksa,0,1,1
69,ישראל,37,83,127
70,Reino de Arabia Saudi,1,0,1
71,Sri Lanka,25,64,97
72,République du Bénin,0,1,1
73,Беларусь,4,45,55
74,台灣,43,32,104
75,Alemanha,7,0,7
76,Republic of the Philippines,3763,4317,8314
77,Taiwan,35,6,48
78,British Virgin Islands,10,0,11
79,Grèce,1,0,1
80,Dominica,1,0,1
81,المملكة العربية السعودية,1372,428,1940
82,Espagne,10,5,16
83,جمهوری اسلامی ایران,7,37,45
84,Algeria,0,6,7
85,Tsjechische Republiek,0,0,1
86,Equatorial Guinea,0,0,1
87,Servië,1,0,1
88,Rumanía,0,2,2
89,Macau,0,5,7
90,Argentina,564,2680,3559
91,일본,7,2,11
92,République Togolaise,1,4,6
93,Egitto,1,0,2
94,Angola,17,8,27
95,Belgium,57,17,94
96,پاکستان,5,0,5
97,Italien,0,0,1
98,San Marino,1,0,1
99,East Timor,0,0,1
100,Reino de Marruecos,0,0,1
101,Ecuador,113,130,274
102,Qatar,75,16,117
103,Lesotho,1,7,8
104,Shqipëria,0,0,3
105,Croatie,1,1,3
106,Suisse,7,5,28
107,Antigua y Barbuda,2,0,2
108,België,52,32,118
109,Albania,10,11,26
110,Madagascar,2,0,4
111,Liban,1,0,1
112,Finland,14,22,102
113,Allemagne,1,1,2
114,Mexiko,0,1,1
115,Türkiye,1191,1837,3575
116,République Démocratique Du Congo,1,10,11
117,New Caledonia,0,1,1
118,Thaïlande,3,2,5
119,المملكة الأردنية الهاشمية,18,6,24
120,Ghana,293,158,468
121,Nicaragua,24,21,49
122,Myanmar,10,46,57
123,Guernsey,2,0,3
124,Peru,101,197,343
125,Bélgica,5,4,12
126,Sierra Leone,6,3,9
127,Benin,10,1,11
128,United States,21006,5879,32663
129,India,449,2602,3313
130,Bahamas,82,2,93
131,Kuwait,345,29,480
132,Malta,13,5,21
133,Roemenië,1,0,1
134,لبنان,3,15,18
135,Somalia,3,6,14
136,Zambie,1,0,1
137,Repubblica Ceca,1,0,1
138,Chile,257,654,1079
139,المملكة المغربية,0,1,2
140,Belgio,3,0,3
141,Ucrânia,1,1,2
142,Äthiopien,0,0,1
143,Nederland,147,274,556
144,Panamá,114,175,314
145,Martinique,14,12,26
146,Royaume-Uni,16,4,28
147,Finlândia,1,0,1
148,Republika ng Pilipinas,39,5,50
149,Alemania,12,14,28
150,대한민국,77,151,307
151,Cayman Islands,2,1,3
152,Norwegen,0,0,1
153,Stati Uniti,2,1,6
154,Isle of Man,6,1,8
155,Rusia,0,3,5
156,Indonesien,0,4,4
157,Burundi,0,0,1
158,Nigeria,791,1138,2078
159,Andorra,0,3,3
160,Bolivia,3,7,14
161,भारत,12,73,100
162,Gabon,5,2,7
163,Italy,98,74,220
164,Srbija,5,57,68
165,香港,29,6,45
166,Arménie,0,3,3
167,Sverige,66,114,251
168,Republic of Belarus,5,5,20
169,Malte,0,1,1
170,Comores,2,0,2
171,Guinée,2,17,19
172,Crna Gora,0,5,6
173,Indonésie,1,1,3
174,Suriname,1,0,6
175,Griekenland,3,2,5
176,Polynésie Française,0,0,2
177,Lithuania,5,36,42
178,Republic of Mauritius,4,3,8
179,Norway,51,10,77
180,Turkmenistan,3,0,4
181,Hrvatska,0,15,19
182,Italië,1,0,2
183,Spain,171,92,322
184,مملكة البحرين,26,9,37
185,Cuba,29,4,42
186,Guyane Française,8,0,8
187,الجزائر,1,9,13
188,Emiratos Árabes Unidos,1,0,1
189,Viêtnam,0,0,1
190,Republic of Croatia,6,13,25
191,Mauritania,3,2,6
192,Guadeloupe,10,3,14
193,Algérie,11,28,45
194,Denmark,40,14,67
195,Espanha,6,4,11
196,Nouvelle-Calédonie,0,0,1
197,République centrafricaine,0,2,2
198,Barbados,46,13,62
199,Bangladesh,3,31,46
200,Slovacchia,0,0,1
201,Argentiina,0,0,1
202,Vereinigtes Königreich,2,2,5
203,Kingdom of Saudi Arabia,1053,165,1320
204,Ireland,224,211,497
205,Česká republika,14,21,48
206,Liechtenstein,11,0,11
207,Brésil,2,13,15
208,Congo,0,2,2
209,Thailand,506,258,875
210,Noorwegen,0,0,1
211,Россия,332,470,1083
212,Swaziland,1,7,9
213,Emirados Árabes Unidos,0,1,1
214,Argentinien,2,1,3
215,Morocco,17,1,20
216,Monaco,9,3,13
217,Italie,3,3,8
218,Bosnië en Herzegovina,1,0,1
219,Panama,55,27,88
220,Cape Verde,0,4,4
221,Hong Kong,35,13,76
222,Grecia,2,0,5
223,Espanja,0,1,1
224,Ukraine,16,28,57
225,Venezuela,44,296,468
226,الامارات العربية المتحدة,85,24,132
227,Ungarn,0,0,2
228,Tailandia,0,0,1
229,Israel,56,26,126
230,Iceland,21,6,32
231,دولة الكويت,171,57,287
232,Chili,0,2,2
233,Saint Kitts and Nevis,6,0,6
234,Germania,2,9,11
235,Oman,128,39,171
236,French Polynesia,0,0,1
237,USA,1,0,1
238,Lietuva,2,0,2
239,Tunisie,3,24,30
240,Republic of Serbia,27,46,93
241,Cyprus,33,16,55
242,Gibraltar,0,0,5
243,Uruguay,113,265,408
244,Mexico,227,54,348
245,Irland,0,0,3
246,Япония,6,0,6
247,Royaume du Maroc,5,16,27
248,Aruba,4,1,5
249,Japon,8,0,10
250,Zimbabwe,24,32,66
251,Georgia,9,13,34
252,Estonia,2,0,4
253,Montenegro,7,2,10
254,Indonesia,947,3971,5264
255,România,1,4,7
256,Verenigd Koninkrijk,0,2,4
257,Saint Vincent and the Grenadines,3,15,18
258,Turkije,0,1,2
259,Mongolia,40,16,57
260,Guatemala,25,70,105
261,Guam,3,0,3
262,Hongarije,0,4,4
263,Eesti,3,1,4
264,Türkei,9,0,10
265,Luxemburg,0,0,1
266,Libya,56,57,115
267,Azerbaijan,11,25,44
268,Lituania,0,5,5
269,Grenada,9,1,10
270,Danimarca,0,0,1
271,نيوزيلندا,0,0,1
272,Polska,47,191,296
273,Former Yugoslav Republic of Macedonia,1,26,34
274,Armenia,1,3,5
275,Tunisia,5,5,13
276,Liberia,9,3,12
277,Yhdistynyt kuningaskunta,1,0,1
278,Honduras,22,27,51
279,Syria,1,5,6
280,Trinidad and Tobago,49,39,92
281,Spanje,5,5,16
282,Mexique,2,0,2
283,Uganda,34,60,100
284,България,4,11,16
285,Emirats Arabes Unis,4,0,4
286,Namibia,21,17,41
287,Singapur,0,1,1
288,ประเทศไทย,492,815,1384
289,Switzerland,37,8,61
290,Espanya,37,86,179
291,Zambia,26,57,86
292,دولة قطر,24,2,34
293,Irlande,1,0,1
294,مصر,56,177,247
295,Ethiopia,3,4,9
296,Jamaica,117,84,223
297,Latvia,5,3,14
298,Suède,1,0,1
299,United Arab Emirates,368,125,559
300,Slovenija,0,1,1
301,Brunei,9,1,11
302,Latvija,0,3,9
303,Saint Lucia,10,1,11
304,Islandia,0,0,1
305,República de Moçambique,3,3,8
306,Republic of Mozambique,5,1,11
307,Pays-Bas,2,1,3
308,Ierland,0,0,1
309,Regno Unito,4,4,10
310,Guinea,1,0,1
311,Canada,900,564,1929
312,República Popular China,2,0,4
313,Hungría,1,1,3
314,Seychelles,0,1,1
315,Kyrgyzstan,2,27,33
316,Grécia,1,0,2
317,Uzbekistan,0,4,8
318,Belgique,43,19,84
319,Czech Republic,12,7,37
320,Deutschland,192,252,623
321,Österreich,19,50,85
322,Taïwan,0,0,1
323,Turquie,2,1,3
324,Brazil,1138,370,1653
325,Schweden,0,1,1
326,Belize,2,0,3
327,Kenya,77,320,422
328,Gambia,7,2,9
329,Estados Unidos,240,145,472
330,Lebanon,50,42,111
331,澳門,8,0,12
332,Jepang,0,7,7
333,Lao People's Democratic Republic,3,5,8
334,République Serbe,0,0,1
335,ญี่ปุ่น,6,4,10
336,Svizzera,2,0,3
337,Antigua and Barbuda,18,5,23
338,Syrien,1,0,1
339,Dominican Republic,86,127,277
340,Verenigde Staten,2,1,3
341,Japan,742,50,882
342,Botswana,29,41,75
343,Bosna i Hercegovina,0,4,4
344,Tanzania,63,58,146
345,Україна,16,45,76
346,اليابان,1,0,1
347,Libano,0,1,1
348,Brasile,0,15,16
349,"Bonaire, Sint Eustatius and Saba",0,0,11
350,Canadà,0,0,1
351,中华人民共和国,77,47,163
352,Luxembourg,10,4,16
353,Dinamarca,0,0,2
354,Irlanda,15,10,29
355,New Zealand,5,8,17
356,Danemark,1,0,1
357,Brasil,4917,12367,18350
358,Reino Unido,27,12,47
359,,79,60,154
360,Bosnia and Herzegovina,6,5,12
361,Greenland,0,0,1
362,Bosnien und Herzegowina,0,1,1
363,Haiti,9,18,28
364,Poland,35,23,67
365,Kanada,0,0,1
366,Portugal,232,245,544
367,Cameroon,49,8,59
368,Australia,132,88,328
369,Holanda,5,3,9
370,People's Republic of China,135,7,170
371,Украина,36,93,158
372,Romania,7,2,16
373,Bulgaria,3,7,14
374,Turchia,0,1,1
375,Itália,3,4,8
376,Camboya,0,0,1
377,Nepal,24,65,100
378,Austria,25,7,39
379,México,583,1219,2087
380,Costa Rica,75,56,150
381,Egypt,254,264,549
382,Kazakhstan,11,18,34
383,El Salvador,11,48,69
384,Magyarország,8,14,25
385,South Africa,923,1264,2351
386,Giappone,0,4,5
387,République Tchèque,0,1,1
388,Burkina Faso,0,1,1
389,Bermuda,4,1,5
390,Japão,3,1,7
391,Bulgarien,0,0,1
392,Bahrain,118,15,140
393,Polonia,1,12,15
394,Aserbaidschan,0,0,2
395,Colombia,370,888,1420
396,Frankrijk,3,0,4
397,Hungary,4,10,17
