,Country,Iphone,Android,Total
2,Russia,111,13,159
3,Paraguay,54,175,253
5,Anguilla,3,0,4
11,Yemen,1,15,25
15,Senegal,38,52,94
18,Sweden,46,9,88
26,Guyana,3,1,6
30,Eritrea,0,0,3
32,Tonga,0,0,1
33,Djibouti,1,2,5
34,Singapore,130,49,207
35,Malaysia,1849,1351,3390
40,Turkey,390,63,657
45,Malawi,3,13,18
48,Iraq,66,34,127
49,Germany,141,96,301
50,Northern Mariana Islands,1,0,1
53,Cambodia,17,11,30
54,Afghanistan,4,3,10
56,Rwanda,4,9,14
57,Maldives,20,15,38
62,Palau,0,1,1
63,France,880,657,1870
64,Turks and Caicos Islands,6,0,6
65,Greece,46,12,90
67,Kosovo,13,2,15
71,Sri Lanka,25,64,97
77,Taiwan,35,6,48
78,British Virgin Islands,10,0,11
80,Dominica,1,0,1
84,Algeria,0,6,7
86,Equatorial Guinea,0,0,1
89,Macau,0,5,7
90,Argentina,564,2680,3559
94,Angola,17,8,27
95,Belgium,57,17,94
98,San Marino,1,0,1
101,Ecuador,113,130,274
102,Qatar,75,16,117
103,Lesotho,1,7,8
109,Albania,10,11,26
110,Madagascar,2,0,4
112,Finland,14,22,102
117,New Caledonia,0,1,1
120,Ghana,293,158,468
121,Nicaragua,24,21,49
122,Myanmar,10,46,57
123,Guernsey,2,0,3
124,Peru,101,197,343
126,Sierra Leone,6,3,9
127,Benin,10,1,11
128,United States,21006,5879,32663
129,India,449,2602,3313
130,Bahamas,82,2,93
131,Kuwait,345,29,480
132,Malta,13,5,21
135,Somalia,3,6,14
138,Chile,257,654,1079
145,Martinique,14,12,26
151,Cayman Islands,2,1,3
154,Isle of Man,6,1,8
157,Burundi,0,0,1
158,Nigeria,791,1138,2078
159,Andorra,0,3,3
160,Bolivia,3,7,14
162,Gabon,5,2,7
163,Italy,98,74,220
174,Suriname,1,0,6
177,Lithuania,5,36,42
179,Norway,51,10,77
180,Turkmenistan,3,0,4
183,Spain,171,92,322
185,Cuba,29,4,42
191,Mauritania,3,2,6
192,Guadeloupe,10,3,14
194,Denmark,40,14,67
198,Barbados,46,13,62
199,Bangladesh,3,31,46
204,Ireland,224,211,497
206,Liechtenstein,11,0,11
209,Thailand,506,258,875
215,Morocco,17,1,20
216,Monaco,9,3,13
219,Panama,55,27,88
220,Cape Verde,0,4,4
221,Hong Kong,35,13,76
224,Ukraine,16,28,57
225,Venezuela,44,296,468
229,Israel,56,26,126
230,Iceland,21,6,32
233,Saint Kitts and Nevis,6,0,6
235,Oman,128,39,171
236,French Polynesia,0,0,1
241,Cyprus,33,16,55
242,Gibraltar,0,0,5
243,Uruguay,113,265,408
244,Mexico,227,54,348
248,Aruba,4,1,5
250,Zimbabwe,24,32,66
251,Georgia,9,13,34
252,Estonia,2,0,4
253,Montenegro,7,2,10
254,Indonesia,947,3971,5264
257,Saint Vincent and the Grenadines,3,15,18
259,Mongolia,40,16,57
260,Guatemala,25,70,105
261,Guam,3,0,3
266,Libya,56,57,115
267,Azerbaijan,11,25,44
269,Grenada,9,1,10
274,Armenia,1,3,5
275,Tunisia,5,5,13
276,Liberia,9,3,12
278,Honduras,22,27,51
279,Syria,1,5,6
280,Trinidad and Tobago,49,39,92
283,Uganda,34,60,100
286,Namibia,21,17,41
289,Switzerland,37,8,61
291,Zambia,26,57,86
295,Ethiopia,3,4,9
296,Jamaica,117,84,223
297,Latvia,5,3,14
299,United Arab Emirates,368,125,559
301,Brunei,9,1,11
303,Saint Lucia,10,1,11
310,Guinea,1,0,1
311,Canada,900,564,1929
314,Seychelles,0,1,1
315,Kyrgyzstan,2,27,33
317,Uzbekistan,0,4,8
324,Brazil,1138,370,1653
326,Belize,2,0,3
327,Kenya,77,320,422
328,Gambia,7,2,9
330,Lebanon,50,42,111
333,Lao People's Democratic Republic,3,5,8
337,Antigua and Barbuda,18,5,23
339,Dominican Republic,86,127,277
341,Japan,742,50,882
342,Botswana,29,41,75
344,Tanzania,63,58,146
352,Luxembourg,10,4,16
355,New Zealand,5,8,17
360,Bosnia and Herzegovina,6,5,12
361,Greenland,0,0,1
363,Haiti,9,18,28
364,Poland,35,23,67
366,Portugal,232,245,544
367,Cameroon,49,8,59
368,Australia,132,88,328
372,Romania,7,2,16
373,Bulgaria,3,7,14
377,Nepal,24,65,100
378,Austria,25,7,39
380,Costa Rica,75,56,150
381,Egypt,254,264,549
382,Kazakhstan,11,18,34
383,El Salvador,11,48,69
385,South Africa,923,1264,2351
388,Burkina Faso,0,1,1
389,Bermuda,4,1,5
392,Bahrain,118,15,140
395,Colombia,370,888,1420
397,Hungary,4,10,17
399,Democratic Republic of Congo,4,3,8
400,Pakistan,167,488,697
403,Vatican City,0,0,1
408,United Kingdom,4213,2529,8050
409,Moldova,2,0,5
412,Vietnam,14,10,34
415,Mali,2,6,9
