,language,total
0,en,80421
1,pt,18907
2,es,13485
3,ja,7048
4,tr,3743
5,ar,3112
6,id,2749
7,fr,2345
8,ru,1460
9,th,1368
10,it,1312
11,en-gb,726
12,de,711
13,nl,693
14,pl,324
15,ko,283
16,sv,253
17,en-GB,210
18,ca,193
19,el,118
20,sr,106
21,zh-CN,104
22,he,103
23,uk,76
24,zh-cn,72
25,hi,70
26,fi,69
27,zh-tw,60
28,no,45
29,fa,45
30,cs,43
31,zh-TW,43
32,da,38
33,vi,37
34,hr,23
35,hu,23
36,eu,14
37,fil,14
38,pt-PT,14
39,bg,12
40,sq,8
41,es-MX,7
42,ro,6
43,sk,4
44,gl,4
45,zh-Hans,3
46,xx-lc,3
47,be,2
48,en-IN,2
49,zh-Hant,2
50,lv,1
51,msa,1
52,en-AU,1
