,Length,Lessthan50,Between,Greater100
0,148,0,0,2
1,146,0,0,1
2,145,0,0,2
3,144,0,0,36
4,143,0,0,9
5,142,0,0,1
6,140,0,0,1053
7,139,0,0,281
8,138,0,0,63
9,137,0,0,37
10,136,0,0,44
11,135,0,0,42
12,134,0,0,36
13,133,0,0,32
14,132,0,0,32
15,131,0,0,35
16,130,0,0,29
17,129,0,0,28
18,128,0,0,36
19,127,0,0,60
20,126,0,0,31
21,125,0,0,31
22,124,0,0,39
23,123,0,0,29
24,122,0,0,28
25,121,0,0,22
26,120,0,0,20
27,119,0,0,25
28,118,0,0,32
29,117,0,0,30
30,116,0,0,33
31,115,0,0,82
32,114,0,0,21
33,113,0,0,22
34,112,0,0,34
35,111,0,0,30
36,110,0,0,34
37,109,0,0,37
38,108,0,0,30
39,107,0,0,47
40,106,0,0,28
41,105,0,0,47
42,104,0,0,41
43,103,0,0,40
44,102,0,0,34
45,101,0,0,33
46,100,0,0,0
47,99,0,50,0
48,98,0,42,0
49,97,0,55,0
50,96,0,27,0
51,95,0,37,0
52,94,0,48,0
53,93,0,32,0
54,92,0,50,0
55,91,0,53,0
56,90,0,61,0
57,89,0,63,0
58,88,0,63,0
59,87,0,57,0
60,86,0,56,0
61,85,0,56,0
62,84,0,70,0
63,83,0,63,0
64,82,0,64,0
65,81,0,68,0
66,80,0,71,0
67,79,0,65,0
68,78,0,66,0
69,77,0,73,0
70,76,0,64,0
71,75,0,72,0
72,74,0,77,0
73,73,0,70,0
74,72,0,84,0
75,71,0,87,0
76,70,0,86,0
77,69,0,101,0
78,68,0,72,0
79,67,0,92,0
80,66,0,100,0
81,65,0,94,0
82,64,0,90,0
83,63,0,110,0
84,62,0,114,0
85,61,0,96,0
86,60,0,115,0
87,59,0,102,0
88,58,0,114,0
89,57,0,105,0
90,56,0,107,0
91,55,0,132,0
92,54,0,106,0
93,53,0,128,0
94,52,0,117,0
95,51,0,135,0
96,50,0,0,0
97,49,142,0,0
98,48,144,0,0
99,47,125,0,0
100,46,139,0,0
101,45,136,0,0
102,44,121,0,0
103,43,120,0,0
104,42,148,0,0
105,41,145,0,0
106,40,145,0,0
107,39,159,0,0
108,38,185,0,0
109,37,154,0,0
110,36,175,0,0
111,35,187,0,0
112,34,167,0,0
113,33,153,0,0
114,32,147,0,0
115,31,144,0,0
116,30,154,0,0
117,29,152,0,0
118,28,151,0,0
119,27,150,0,0
120,26,169,0,0
121,25,159,0,0
122,24,140,0,0
123,23,278,0,0
124,22,149,0,0
125,21,125,0,0
126,20,119,0,0
127,19,140,0,0
128,18,137,0,0
129,17,117,0,0
130,16,137,0,0
131,15,108,0,0
132,14,93,0,0
133,13,89,0,0
134,12,75,0,0
135,11,83,0,0
136,10,73,0,0
137,9,55,0,0
138,8,60,0,0
139,7,56,0,0
140,6,49,0,0
141,5,45,0,0
142,4,44,0,0
143,3,50,0,0
144,2,30,0,0
145,1,39,0,0
