,Country,Total,Verified,Nonverified
0,United States,32663,674,31989
1,Brasil,18350,41,18309
2,Republic of the Philippines,8314,2,8312
3,United Kingdom,8050,106,7944
4,日本,6626,3,6623
5,Indonesia,5264,5,5259
6,Türkiye,3575,15,3560
7,Argentina,3559,28,3531
8,Malaysia,3390,1,3389
9,India,3313,60,3253
10,España,2520,31,2489
11,South Africa,2351,22,2329
12,México,2087,14,2073
13,Nigeria,2078,17,2061
14,المملكة العربية السعودية,1940,14,1926
15,Canada,1929,36,1893
16,France,1870,19,1851
17,Brazil,1653,10,1643
18,Colombia,1420,10,1410
19,ประเทศไทย,1384,0,1384
20,Kingdom of Saudi Arabia,1320,6,1314
21,Italia,1271,4,1267
22,Россия,1083,1,1082
23,Chile,1079,8,1071
24,Japan,882,2,880
25,Thailand,875,2,873
26,Pakistan,697,10,687
27,Turkey,657,3,654
28,Deutschland,623,8,615
29,United Arab Emirates,559,13,546
30,Nederland,556,6,550
31,Egypt,549,6,543
32,Portugal,544,7,537
33,Ireland,497,35,462
34,Kuwait,480,0,480
35,Estados Unidos,472,7,465
36,Ghana,468,11,457
37,Venezuela,468,0,468
38,Kenya,422,11,411
39,Uruguay,408,0,408
40,Mexico,348,1,347
41,Peru,343,6,337
42,Australia,328,2,326
43,Spain,322,11,311
44,Panamá,314,11,303
45,대한민국,307,0,307
46,Germany,301,5,296
47,Polska,296,0,296
48,دولة الكويت,287,0,287
49,Dominican Republic,277,5,272
50,Ecuador,274,0,274
51,Paraguay,253,5,248
52,Sverige,251,0,251
53,مصر,247,0,247
54,Jamaica,223,0,223
55,Italy,220,2,218
56,Singapore,207,0,207
57,The Netherlands,183,0,183
58,Espanya,179,0,179
59,Oman,171,0,171
60,People's Republic of China,170,0,170
61,中华人民共和国,163,0,163
62,Russia,159,4,155
63,Украина,158,1,157
64,سلطنة عمان,155,0,155
65,,154,2,152
66,Costa Rica,150,0,150
67,Republic of Korea,146,0,146
68,Tanzania,146,3,143
69,Bahrain,140,1,139
70,الامارات العربية المتحدة,132,11,121
71,Iraq,127,0,127
72,ישראל,127,1,126
73,Israel,126,32,94
74,Ελλάς,120,0,120
75,België,118,0,118
76,Qatar,117,1,116
77,Libya,115,0,115
78,Lebanon,111,6,105
79,Islamic Republic of Iran,106,0,106
80,Guatemala,105,0,105
81,台灣,104,0,104
82,Finland,102,0,102
83,भारत,100,0,100
84,Uganda,100,1,99
85,Nepal,100,1,99
86,Sri Lanka,97,0,97
87,Senegal,94,0,94
88,Belgium,94,2,92
